num ;dist(asec);            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;     spec. type      
----;----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------------------
1   ;     25.85;Cl* NGC 2632 S 119                 ;SB*;08 40 23.2706451960 +19 40 23.704368132;     ~   ;10.96    ;10.37    ;     ~   ;G0V                  
2   ;     29.48;HD 73710                           ;*  ;08 40 22.0864518288 +19 40 11.771283936;8.290    ;7.410    ;6.390    ;5.70     ;G9III-IIIb           
3   ;     63.87;Cl* NGC 2632 JC 209                ;*  ;08 40 27.5113002591 +19 39 19.765256407;     ~   ;14.31    ;13.22    ;     ~   ;K4V                  
4   ;     76.92;[WBG2011] D05                      ;LM*;08 40 21.561 +19 38 51.23              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
5   ;     77.46;BD+20 2170                         ;*  ;08 40 26.1405874128 +19 41 11.315709132;     ~   ;9.79     ;9.45     ;     ~   ;~                    
6   ;     85.14;[WBG2011] D04                      ;LM*;08 40 20.994 +19 38 46.21              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
7   ;     85.61;HD 73709                           ;SB*;08 40 20.7479143752 +19 41 12.242993316;     ~   ;7.87     ;7.68     ;     ~   ;kA2hA5mF0(III-IV)(Cr)
8   ;    103.84;LB 5967                            ;blu;08 40 30.0 +19 41 00                   ;     ~   ;18.2     ;     ~   ;     ~   ;~                    
9   ;    105.59;[WBG2011] A05                      ;LM*;08 40 25.044 +19 41 44.56              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
10  ;    129.28;[WBG2011] D07                      ;LM*;08 40 26.220 +19 37 54.58              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
11  ;    147.84;Cl* NGC 2632 JC 212                ;*  ;08 40 31.5051444174 +19 41 43.051985858;     ~   ;16.56    ;15.11    ;     ~   ;~                    
12  ;    148.52;2MASS J08402659+1937360            ;LM*;08 40 26.5943194224 +19 37 36.068649132;     ~   ;     ~   ;     ~   ;     ~   ;M1V                  
13  ;    179.03;Cl* NGC 2632 JC 215                ;Ro*;08 40 33.4642580616 +19 38 00.935332332;     ~   ;13.094   ;12.198   ;     ~   ;K0.8                 
14  ;    181.83;Cl* NGC 2632 HSHJ 302              ;*  ;08 40 11.5884886238 +19 39 11.789641692;     ~   ;     ~   ;     ~   ;     ~   ;M3.7                 
15  ;    191.76;BD+20 2160                         ;SB*;08 40 12.3183004632 +19 38 22.320363696;     ~   ;10.37    ;9.90     ;     ~   ;F5V                  
16  ;    192.65;Gaia DR3 661295466028469120        ;*  ;08 40 12.4238094360 +19 38 18.150886356;     ~   ;     ~   ;     ~   ;     ~   ;~                    
17  ;    193.51;2MASS J08401076+1940498            ;BD?;08 40 10.7629468536 +19 40 49.901356524;     ~   ;     ~   ;     ~   ;     ~   ;~                    
18  ;    196.35;[AKS95] 91                         ;*  ;08 40 25.13 +19 36 44.3                ;     ~   ;13.099   ;12.209   ;     ~   ;~                    
19  ;    205.58;[WBG2011] A08                      ;LM*;08 40 27.459 +19 43 19.69              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
20  ;    215.66;[WBG2011] D06                      ;LM*;08 40 25.698 +19 36 25.68              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
21  ;    219.86;2MASS J08402945+1943258            ;*  ;08 40 29.4614677296 +19 43 25.890198888;     ~   ;     ~   ;     ~   ;     ~   ;~                    
22  ;    222.14;EGGR 61                            ;WD*;08 40 28.0935005160 +19 43 34.488958224;     ~   ;17.6     ;17.66    ;17.7     ;DA                   
23  ;    225.03;Cl* NGC 2632 S 134                 ;Ro*;08 40 39.9178822906 +19 40 09.192415392;     ~   ;11.580   ;10.859   ;     ~   ;G3V                  
24  ;    225.81;[WBG2011] A03                      ;LM*;08 40 20.624 +19 43 40.72              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
25  ;    226.61;NGC 2632                           ;OpC;08 40 13.0 +19 37 16                   ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
26  ;    232.96;Cl* NGC 2632 MO 1-22               ;*  ;08 40 29.0 +19 43 42                   ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
27  ;    233.14;2MASS J08404047+1940147            ;*  ;08 40 40.4724805200 +19 40 14.722848048;     ~   ;     ~   ;     ~   ;     ~   ;~                    
28  ;    240.48;Cl* NGC 2632 ART 416               ;*  ;08 40 22.7629079496 +19 43 59.845648908;     ~   ;15.77    ;15.2     ;     ~   ;~                    
29  ;    247.23;LB 5974                            ;blu;08 40 36.0 +19 43 00                   ;     ~   ;20.1     ;     ~   ;     ~   ;~                    
30  ;    247.91;Cl* NGC 2632 ART 468               ;*  ;08 40 41.4858913680 +19 40 21.380133828;     ~   ;15.7     ;     ~   ;     ~   ;~                    
31  ;    256.49;FIRST J084023.8+194416             ;AG?;08 40 23.8862 +19 44 16.487            ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
32  ;    258.63;Cl* NGC 2632 KW 252                ;*  ;08 40 05.8906216728 +19 39 21.891617172;     ~   ;13.61    ;12.8     ;     ~   ;~                    
33  ;    259.73;Cl* NGC 2632 JC 190                ;Ro*;08 40 09.6806371620 +19 37 17.099047170;     ~   ;12.808   ;11.973   ;     ~   ;G9V                  
34  ;    261.25;LB 5935                            ;blu;08 40 06.0 +19 39 00                   ;     ~   ;19.62    ;19.08    ;     ~   ;~                    
35  ;    261.35;[WBG2011] A09                      ;LM*;08 40 32.282 +19 43 53.72              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
36  ;    269.21;[A66] III 19                       ;*  ;08 40 05.49 +19 38 55.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
37  ;    278.66;Gaia DR3 661303471847393664        ;*  ;08 40 39.3948207720 +19 42 54.304620948;     ~   ;     ~   ;     ~   ;     ~   ;~                    
38  ;    279.61;2MASS J08403942+1942553            ;** ;08 40 39.42120 +19 42 55.3608          ;     ~   ;     ~   ;     ~   ;     ~   ;M4.0                 
39  ;    279.68;Gaia DR3 661303471844671104        ;*  ;08 40 39.4162650432 +19 42 55.548597816;     ~   ;     ~   ;     ~   ;     ~   ;~                    
40  ;    281.83;Cl* NGC 2632 JS 338                ;*  ;08 40 08.5200969192 +19 37 02.216873856;     ~   ;18.80    ;16.93    ;     ~   ;~                    
41  ;    283.90;[FRP2003] J084005.07+193818.2      ;*  ;08 40 05.18 +19 38 20.4                ;     ~   ;10.347   ;9.889    ;     ~   ;~                    
42  ;    287.15;2XMM J084005.0+193817              ;X  ;08 40 05.0200242312 +19 38 17.180673720;     ~   ;     ~   ;     ~   ;     ~   ;~                    
43  ;    289.12;Cl* NGC 2632 ART 387               ;*  ;08 40 14.5739803896 +19 44 16.657960344;     ~   ;15.76    ;14.7     ;     ~   ;~                    
44  ;    289.40;2MASS J08403799+1936285            ;LM*;08 40 37.9856046576 +19 36 28.538596548;     ~   ;     ~   ;     ~   ;     ~   ;M6V                  
45  ;    296.41;2XMM J084015.6+193528              ;X  ;08 40 15.742 +19 35 27.52              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
46  ;    303.99;SDSS J084005.83+194243.1           ;QSO;08 40 05.839 +19 42 43.17              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
47  ;    305.89;Cl* NGC 2632 HSHJ 293              ;*  ;08 40 02.4883332864 +19 40 35.371766712;     ~   ;     ~   ;     ~   ;     ~   ;M3.3                 
48  ;    311.74;LB 5952                            ;blu;08 40 18.0 +19 45 00                   ;     ~   ;19.67    ;19.26    ;     ~   ;~                    
49  ;    318.01;SDSS J084044.34+193743.9           ;?  ;08 40 44.348 +19 37 43.98              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
50  ;    324.16;Cl* NGC 2632 ART 400               ;*  ;08 40 18.8499865200 +19 45 15.899312988;     ~   ;15.27    ;14.7     ;     ~   ;~                    
51  ;    329.28;Cl* NGC 2632 JC 194                ;*  ;08 40 13.7858302594 +19 44 56.007315711;     ~   ;17.56    ;16.06    ;     ~   ;M1.2                 
52  ;    330.89;* 42 Cnc                           ;*  ;08 40 43.2054775320 +19 43 09.532220196;7.190    ;7.040    ;6.840    ;     ~   ;A7III                
53  ;    333.70;SDSS J084047.47+194038.0           ;BiC;08 40 47.471 +19 40 38.09              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
54  ;    335.31;[WBG2011] A11                      ;LM*;08 40 35.313 +19 44 54.81              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
55  ;    337.49;Cl* NGC 2632 KW 250B               ;*  ;08 40 06.0 +19 43 42                   ;     ~   ;15.95    ;15.10    ;     ~   ;~                    
56  ;    339.91;Cl* NGC 2632 S 143                 ;Ro*;08 40 47.9832672792 +19 39 32.161833069;     ~   ;11.757   ;10.991   ;     ~   ;G2V                  
57  ;    349.67;LB 5936                            ;blu;08 40 06.0 +19 36 00                   ;     ~   ;19.99    ;19.74    ;     ~   ;~                    
58  ;    351.13;Cl* NGC 2632 S 94                  ;*  ;08 39 59.1479887032 +19 40 08.277372048;     ~   ;10.20    ;9.95     ;     ~   ;F3V                  
59  ;    351.45;BD+20 2157                         ;*  ;08 40 04.9021306639 +19 43 45.329644107;     ~   ;10.26    ;9.79     ;     ~   ;F5V                  
60  ;    352.86;[AKS95] 82                         ;*  ;08 40 03.16 +19 36 45.5                ;     ~   ;12.812   ;12.011   ;     ~   ;~                    
61  ;    353.43;[SPD2011] 41525                    ;ClG;08 40 48.8 +19 40 43                   ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
62  ;    353.55;Cl* NGC 2632 VL 1074               ;*  ;08 40 41.5208774280 +19 35 47.565021624;     ~   ;15.03    ;14.7     ;     ~   ;~                    
63  ;    355.26;Cl* NGC 2632 ART 463               ;*  ;08 40 37.3050825624 +19 45 01.511292780;     ~   ;15.29    ;14.8     ;     ~   ;~                    
64  ;    356.75;SDSS J084049.19+194025.1           ;BiC;08 40 49.194 +19 40 25.11              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
65  ;    365.43;SDSS J084049.54+194058.0           ;BiC;08 40 49.544 +19 40 58.05              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
66  ;    366.20;Cl* NGC 2632 ART 406               ;*  ;08 40 20.3931720624 +19 33 57.366608688;     ~   ;15.64    ;15.1     ;     ~   ;~                    
67  ;    370.97;2MASS J08400381+1943574            ;*  ;08 40 03.8197515816 +19 43 57.485213292;     ~   ;     ~   ;     ~   ;     ~   ;M2.5                 
68  ;    376.70;[A66] III 302                      ;*  ;08 40 15.55 +19 45 57.3                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
69  ;    379.42;[A66] III 41                       ;*  ;08 40 02.37 +19 36 15.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
70  ;    380.04;2XMM J083957.9+194134              ;X  ;08 39 57.946 +19 41 34.99              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
71  ;    382.43;Cl* NGC 2632 HSHJ 304              ;*  ;08 40 13.0813496136 +19 45 49.973228784;     ~   ;     ~   ;     ~   ;     ~   ;~                    
72  ;    387.36;Gaia DR3 661298313589239936        ;BD?;08 39 58.5086296704 +19 42 22.936169412;     ~   ;     ~   ;     ~   ;     ~   ;~                    
73  ;    391.34;Cl* NGC 2632 KW 251                ;*  ;08 40 06.0138990816 +19 35 02.390854308;     ~   ;14.41    ;14.1     ;     ~   ;~                    
74  ;    395.75;IC 2388                            ;G  ;08 39 56.5188400608 +19 38 43.037525220;     ~   ;15.7     ;     ~   ;     ~   ;~                    
75  ;    409.35;2MASS J08395940+1943371            ;BD?;08 39 59.4422391648 +19 43 37.463588832;     ~   ;     ~   ;     ~   ;     ~   ;~                    
76  ;    416.85;Cl* NGC 2632 KW 316                ;*  ;08 40 35.5054424040 +19 46 23.887275384;     ~   ;13.91    ;13.7     ;     ~   ;~                    
77  ;    420.00;[LH2011] 1488                      ;GrG;08 40 24.0 +19 33 00                   ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
78  ;    422.28;2MASS J08405363+1940580            ;BD?;08 40 53.6119871304 +19 40 58.250549856;     ~   ;     ~   ;     ~   ;     ~   ;~                    
79  ;    424.10;Cl* NGC 2632 JC 185                ;*  ;08 40 04.7339753280 +19 45 25.334678484;     ~   ;15.56    ;14.61    ;     ~   ;~                    
80  ;    424.88;Cl* NGC 2632 ART 325               ;*  ;08 39 56.7093705912 +19 42 58.818200256;     ~   ;15.9     ;15.0     ;     ~   ;~                    
81  ;    425.04;2MASS J08395742+1943194            ;*  ;08 39 57.4201612152 +19 43 19.385283792;     ~   ;     ~   ;     ~   ;     ~   ;~                    
82  ;    430.30;K2-102                             ;Ro*;08 40 13.4534275080 +19 46 43.709186244;     ~   ;14.318   ;13.200   ;     ~   ;K3V                  
83  ;    430.30;K2-102b                            ;Pl ;08 40 13.4532692251 +19 46 43.712129004;     ~   ;     ~   ;     ~   ;     ~   ;~                    
84  ;    440.68;LB 5934                            ;blu;08 40 06.0 +19 46 00                   ;     ~   ;19.90    ;19.82    ;     ~   ;~                    
85  ;    440.71;GSC2 N23122205423                  ;*  ;08 39 56.2924990368 +19 36 37.513201140;     ~   ;     ~   ;     ~   ;     ~   ;~                    
86  ;    440.73;* eps Cnc                          ;SB*;08 40 27.0100951392 +19 32 41.324313444;6.630    ;6.460    ;6.290    ;     ~   ;A5m                  
87  ;    444.32;BD+20 2162                         ;Ro*;08 40 17.5823637480 +19 47 14.980669656;     ~   ;10.551   ;9.941    ;     ~   ;F8V                  
88  ;    446.22;SDSS J083953.06+193830.1           ;QSO;08 39 53.0587382112 +19 38 30.128101944;     ~   ;     ~   ;     ~   ;     ~   ;~                    
89  ;    446.66;Cl* NGC 2632 S 138                 ;Ro*;08 40 42.4813583883 +19 33 57.623817270;     ~   ;12.063   ;11.331   ;     ~   ;G4V                  
90  ;    455.60;Cl* NGC 2632 RUS 239               ;*  ;08 40 51.4951997064 +19 36 01.920925512;     ~   ;16.01    ;15.3     ;     ~   ;~                    
91  ;    460.46;LB 5995                            ;blu;08 40 54.0 +19 37 00                   ;     ~   ;19.1     ;     ~   ;     ~   ;~                    
92  ;    464.76;Gaia DR3 661293267005100544        ;*  ;08 40 55.9376128944 +19 38 08.387797380;     ~   ;     ~   ;     ~   ;     ~   ;~                    
93  ;    465.06;Cl* NGC 2632 KW 346                ;mul;08 40 55.977960 +19 38 09.46320        ;     ~   ;13.73    ;12.76    ;12.46    ;~                    
94  ;    465.16;Gaia DR3 661293267005100288        ;*  ;08 40 55.9882110384 +19 38 09.626787780;     ~   ;     ~   ;     ~   ;     ~   ;~                    
95  ;    466.10;Cl* NGC 2632 JC 177                ;Ro*;08 39 59.9819394840 +19 34 40.475004204;     ~   ;13.861   ;12.855   ;     ~   ;K2.3                 
96  ;    470.54;Cl* NGC 2632 KW 280                ;*  ;08 40 20.1117095616 +19 32 12.683269752;     ~   ;14.5     ;     ~   ;     ~   ;~                    
97  ;    486.92;LB 5910                            ;blu;08 39 54.0 +19 44 00                   ;     ~   ;19.55    ;19.21    ;     ~   ;~                    
98  ;    490.74;[A66] II 776                       ;*  ;08 40 03.56 +19 46 36.9                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
99  ;    490.76;[AKS95] 80                         ;*  ;08 39 56.14 +19 35 06.9                ;     ~   ;13.834   ;12.847   ;     ~   ;~                    
100 ;    491.96;HD 73711                           ;*  ;08 40 18.0969905712 +19 31 55.163632944;     ~   ;7.67     ;7.51     ;     ~   ;F0III                
101 ;    496.50;Cl* NGC 2632 KW 236                ;Ro*;08 39 59.7826742784 +19 34 00.234127632;     ~   ;12.880   ;11.886   ;     ~   ;K                    
102 ;    500.42;Cl* NGC 2632 ART 314               ;*  ;08 39 52.0536783816 +19 43 36.515326548;     ~   ;15.5     ;     ~   ;     ~   ;~                    
103 ;    501.65;2MASS J08405843+1937576            ;*  ;08 40 58.4335244304 +19 37 57.365352804;     ~   ;     ~   ;     ~   ;     ~   ;~                    
104 ;    502.93;Cl* NGC 2632 KW 317                ;*  ;08 40 35.1206306208 +19 32 02.248276776;     ~   ;13.58    ;13.0     ;     ~   ;~                    
105 ;    506.70;SDSS J084013.79+194805.7           ;QSO;08 40 13.795 +19 48 05.78              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
106 ;    506.70;Cl* NGC 2632 ART 304               ;*  ;08 39 48.8043790344 +19 38 22.217888184;     ~   ;15.7     ;15.3     ;     ~   ;~                    
107 ;    508.18;Cl* NGC 2632 JC 184                ;Ro*;08 40 04.1612039856 +19 47 04.006734756;     ~   ;12.899   ;12.030   ;     ~   ;K0V                  
108 ;    509.71;Cl* NGC 2632 KW 331                ;*  ;08 40 45.8163762816 +19 46 46.098282432;     ~   ;14.23    ;13.9     ;     ~   ;~                    
109 ;    519.10;Cl* NGC 2632 HSHJ 289              ;*  ;08 39 47.2952980896 +19 39 34.337381616;     ~   ;     ~   ;     ~   ;     ~   ;M3.7                 
110 ;    522.28;[AKS95] 79                         ;*  ;08 39 56.13 +19 34 16.9                ;     ~   ;12.905   ;11.911   ;     ~   ;~                    
111 ;    522.74;Cl* NGC 2632 JC 230                ;Ro*;08 40 56.6914326867 +19 44 05.184258675;     ~   ;13.095   ;12.198   ;     ~   ;K0.5                 
112 ;    524.07;UGCS J083958.01+193345.6           ;NIR;08 39 58.035 +19 33 45.76              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
113 ;    525.51;SDSS J084025.45+194845.1           ;QSO;08 40 25.453 +19 48 45.11              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
114 ;    530.13;Cl* NGC 2632 KW 262                ;*  ;08 40 09.4740701592 +19 31 51.219573708;     ~   ;14.2     ;     ~   ;     ~   ;~                    
115 ;    530.78;Cl* NGC 2632 KW 240                ;*  ;08 40 02.2772740560 +19 47 13.191917424;     ~   ;13.67    ;13.26    ;     ~   ;~                    
116 ;    534.56;Cl* NGC 2632 RUS 233               ;*  ;08 40 46.8641054448 +19 32 54.112733484;     ~   ;16.09    ;15.7     ;     ~   ;~                    
117 ;    541.00;[BBG2010] 904                      ;BD?;08 39 51.67 +19 35 10.1                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
118 ;    550.69;Cl* NGC 2632 S 142                 ;*  ;08 40 47.1890434248 +19 32 37.406330484;     ~   ;11.46    ;10.48    ;     ~   ;K3V                  
119 ;    551.48;2XMM J083945.7+194153              ;X  ;08 39 45.7990488624 +19 41 54.164524020;     ~   ;     ~   ;     ~   ;     ~   ;~                    
120 ;    552.06;V* EP Cnc                          ;dS*;08 40 56.2946955456 +19 34 49.228381848;7.090    ;6.950    ;6.780    ;     ~   ;A6Vn                 
121 ;    555.19;1RXS J083956.0+193330              ;X  ;08 39 56.00 +19 33 30.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
122 ;    564.33;HD 73618                           ;** ;08 39 56.4981407544 +19 33 10.788354324;     ~   ;7.49     ;7.30     ;     ~   ;Am                   
123 ;    577.21;Cl* NGC 2632 ART 346               ;*  ;08 40 01.8671438832 +19 48 05.297324472;     ~   ;15.5     ;     ~   ;     ~   ;~                    
124 ;    578.02;Cl* NGC 2632 KW 231                ;*  ;08 39 59.1258929952 +19 47 39.089235660;     ~   ;12.72    ;12.27    ;     ~   ;~                    
125 ;    579.56;UCAC4 548-046145                   ;PM*;08 40 14.3385017544 +19 30 36.749426688;     ~   ;16.694   ;15.410   ;14.784   ;~                    
126 ;    581.79;Cl* NGC 2632 VL 1105               ;*  ;08 40 53.6350589616 +19 33 16.098005664;     ~   ;15.0     ;     ~   ;     ~   ;~                    
127 ;    583.52;HD 73619                           ;SB*;08 39 57.7696065768 +19 32 29.322827124;     ~   ;7.76     ;7.52     ;     ~   ;Am                   
128 ;    583.64;Cl* NGC 2632 JS 713                ;*  ;08 39 46.7419169064 +19 44 12.581660832;     ~   ;21.17    ;18.35    ;     ~   ;M3.9                 
129 ;    588.68;SDSS J083942.34+193942.5           ;QSO;08 39 42.3423729696 +19 39 42.491048436;     ~   ;     ~   ;     ~   ;     ~   ;~                    
130 ;    592.69;Cl* NGC 2632 KW 214                ;*  ;08 39 51.4215888720 +19 33 46.650038400;     ~   ;14.27    ;14.0     ;     ~   ;~                    
131 ;    593.53;Cl* NGC 2632 HSHJ 340              ;*  ;08 40 56.7751885968 +19 46 11.609623704;     ~   ;     ~   ;     ~   ;     ~   ;~                    
132 ;    596.08;[WBG2011] B09                      ;LM*;08 39 56.429 +19 47 31.41              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
133 ;    597.34;2MASS J08403485+1949374            ;LM*;08 40 34.8480572784 +19 49 37.374223980;     ~   ;     ~   ;     ~   ;     ~   ;~                    
134 ;    601.79;Cl* NGC 2632 KW 201                ;*  ;08 39 41.63 +19 38 57.2                ;     ~   ;13.38    ;13.2     ;     ~   ;~                    
135 ;    602.10;Cl* NGC 2632 S 97                  ;Ro*;08 40 00.6247303944 +19 48 23.591711596;     ~   ;10.824   ;10.271   ;     ~   ;F6V                  
136 ;    605.94;HD 73730                           ;V* ;08 40 23.4641462184 +19 50 05.895548772;     ~   ;8.20     ;7.99     ;     ~   ;F2III                
137 ;    613.21;Cl* NGC 2632 ART 447               ;*  ;08 40 32.0577603648 +19 50 02.571247212;     ~   ;15.7     ;     ~   ;     ~   ;~                    
138 ;    627.90;Cl* NGC 2632 KW 213                ;Er*;08 39 50.8363831685 +19 33 02.073309982;     ~   ;12.61    ;11.84    ;     ~   ;G6.1                 
139 ;    630.23;SDSS J084042.16+193024.4           ;QSO;08 40 42.169 +19 30 24.45              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
140 ;    630.33;Cl* NGC 2632 VL 1103               ;*  ;08 40 53.2765386120 +19 32 04.432687836;     ~   ;14.8     ;     ~   ;     ~   ;~                    
141 ;    634.34;[BBG2010] 18                       ;BD?;08 39 42.79 +19 35 48.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
142 ;    634.53;SDSS J083942.77+193548.2           ;G  ;08 39 42.775 +19 35 48.21              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
143 ;    637.70;2MASS J08394479+1934440            ;*  ;08 39 44.7920899776 +19 34 44.119072524;     ~   ;     ~   ;     ~   ;     ~   ;~                    
144 ;    638.89;EGGR 60                            ;WD*;08 39 47.2132332384 +19 46 11.963822952;     ~   ;18.4     ;18.23    ;18.9     ;DA                   
145 ;    639.11;2XMM J084014.9+192934              ;X  ;08 40 14.979 +19 29 33.73              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
146 ;    640.21;Cl* NGC 2632 VL 1140               ;*  ;08 41 07.8918782136 +19 42 40.009739256;     ~   ;15.1     ;     ~   ;     ~   ;~                    
147 ;    649.09;V* BB Cnc                          ;Er*;08 40 41.6582581200 +19 30 00.797467572;     ~   ;     ~   ;     ~   ;     ~   ;M4.8                 
148 ;    650.34;Cl* NGC 2632 KW 355                ;*  ;08 41 05.2625118120 +19 44 48.821188884;     ~   ;14.11    ;13.2     ;     ~   ;~                    
149 ;    651.47;Cl* NGC 2632 ART 307               ;*  ;08 39 50.0175006120 +19 47 20.673066984;     ~   ;15.7     ;     ~   ;     ~   ;~                    
150 ;    653.06;HD 73598                           ;** ;08 39 50.7154795152 +19 32 26.919638988;     ~   ;7.53     ;6.60     ;     ~   ;G8III-IIIb           
151 ;    654.06;Cl* NGC 2632 KW 359                ;*  ;08 41 07.6674794664 +19 36 22.745991456;     ~   ;14.36    ;13.87    ;     ~   ;~                    
152 ;    656.06;Cl* NGC 2632 ART 303               ;*  ;08 39 47.9858893440 +19 46 54.515512380;     ~   ;15.6     ;     ~   ;     ~   ;~                    
153 ;    656.28;LP 425-59                          ;PM*;08 41 06.5054966400 +19 35 35.298090132;     ~   ;     ~   ;     ~   ;     ~   ;~                    
154 ;    656.78;Cl* NGC 2632 ART 409               ;*  ;08 40 21.4960686744 +19 50 55.825228644;     ~   ;15.7     ;     ~   ;     ~   ;~                    
155 ;    659.04;Cl* NGC 2632 JS 396                ;*  ;08 40 54.6502619352 +19 31 43.276336788;     ~   ;19.58    ;17.58    ;     ~   ;~                    
156 ;    664.45;[BBG2010] 903                      ;BD?;08 40 00.1894708968 +19 30 27.055712196;     ~   ;     ~   ;     ~   ;     ~   ;~                    
157 ;    664.61;Cl* NGC 2632 VL 956                ;*  ;08 40 06.0655004952 +19 50 14.492020668;     ~   ;14.9     ;     ~   ;     ~   ;~                    
158 ;    664.93;LB 6022                            ;blu;08 41 06.0 +19 35 00                   ;     ~   ;19.10    ;18.94    ;     ~   ;~                    
159 ;    665.69;[BBG2010] 2                        ;BD?;08 41 08.8 +19 43 27                   ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
160 ;    665.81;[A66] III 484                      ;*  ;08 41 06.87 +19 35 23.5                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
161 ;    667.93;[WBG2011] D09                      ;LM*;08 40 43.705 +19 29 52.89              ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
162 ;    668.68;Cl* NGC 2632 ART 430               ;*  ;08 40 27.3467051640 +19 28 52.999972392;     ~   ;15.7     ;     ~   ;     ~   ;~                    
163 ;    669.01;[A66] IV 4                         ;*  ;08 41 10.95 +19 38 32.2                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
164 ;    669.53;Cl* NGC 2632 JS 360                ;*  ;08 40 27.2 +19 28 52                   ;     ~   ;17.32    ;15.68    ;     ~   ;~                    
165 ;    669.86;Cl* NGC 2632 S 131                 ;Ro*;08 40 31.6863019661 +19 51 01.012583190;     ~   ;12.402   ;11.609   ;     ~   ;G9V                  
166 ;    672.11;Cl* NGC 2632 ART 295               ;*  ;08 39 45.06 +19 33 34.0                ;     ~   ;15.7     ;     ~   ;     ~   ;~                    
167 ;    672.98;2MASS J08411093+1938042            ;BD?;08 41 10.9337329464 +19 38 04.579387512;     ~   ;     ~   ;     ~   ;     ~   ;~                    
168 ;    673.14;Cl* NGC 2632 PHJ 13                ;*  ;08 40 27.61 +19 28 48.8                ;     ~   ;     ~   ;     ~   ;     ~   ;~                    
169 ;    680.05;Cl* NGC 2632 ART 282               ;*  ;08 39 38.8872816072 +19 43 57.877293108;     ~   ;15.7     ;     ~   ;     ~   ;~                    
170 ;    681.39;LB 5946                            ;blu;08 40 12.0 +19 51 00                   ;     ~   ;19.79    ;19.15    ;     ~   ;~                    
171 ;    682.97;Cl* NGC 2632 ART 473               ;*  ;08 40 42.2439906336 +19 50 32.547533784;     ~   ;15.6     ;     ~   ;     ~   ;~                    
172 ;    684.55;Cl* NGC 2632 VL 1144               ;*  ;08 41 08.8485256056 +19 35 40.903558548;     ~   ;14.8     ;     ~   ;     ~   ;~                    
173 ;    685.94;2MASS J08411256+1940011            ;PM*;08 41 12.5621904912 +19 40 01.032742632;     ~   ;     ~   ;     ~   ;     ~   ;M4                   
174 ;    686.54;LB 5911                            ;blu;08 39 54.0 +19 31 00                   ;     ~   ;20.04    ;19.99    ;     ~   ;~                    
175 ;    687.61;Cl* NGC 2632 S 121                 ;Er*;08 40 25.5398133658 +19 28 32.736891286;     ~   ;10.37    ;9.89     ;     ~   ;F5V                  
176 ;    688.61;LB 6036                            ;blu;08 41 12.0 +19 38 00                   ;     ~   ;19.24    ;18.76    ;     ~   ;~                    
177 ;    688.61;LB 6029                            ;blu;08 41 12.0 +19 38 00                   ;     ~   ;19.47    ;19.32    ;     ~   ;~                    
178 ;    693.21;[A66] II 626                       ;*  ;08 39 48.7928762928 +19 31 57.268180812;     ~   ;     ~   ;     ~   ;     ~   ;~                    
